mdate|tone_mkt|tone_lex
2003-09-09 10:00:00|-0.3513513418553691|-0.4594594470416366
2003-10-09 10:00:00|0.3953488280151435|0.2941176412918109
2003-11-06 10:00:00|-0.2820512748191981|-0.04999999875
2003-12-11 10:00:00|-0.4117646816609011|-0.0588235259515572
2004-01-08 10:00:00|0.4399999824000007|-0.1304347769376184
2004-02-06 10:00:00|0.1874999941406252|-0.2258064443288243
2004-03-11 10:00:00|0.1320754692061232|0.2075471658953365
2004-04-08 10:00:00|0.363636355371901|0.0833333315972222
2004-05-06 10:00:00|0.2727272665289257|-0.0869565198487713
2004-06-10 10:00:00|0.2105263102493076|-0.04999999875
2004-07-08 10:00:00|0.0857142832653062|-0.3142857053061227
2004-08-12 10:00:00|0.0370370363511659|-0.1923076886094675
2004-09-09 10:00:00|-0.1428571377551022|-0.2571428497959186
2004-10-07 10:00:00|-0.0476190464852608|-0.0810810788897005
2004-11-11 10:00:00|-0.1489361670439113|-0.4915254153978743
2004-12-09 10:00:00|-0.0666666622222225|-0.5294117335640156
2005-01-13 10:00:00|-0.0952380929705216|-0.0697674402379665
2005-02-15 10:00:00|0.1052631551246538|0.0697674402379665
2005-03-10 10:00:00|0.4893616917157087|0.3478260793950852
2005-04-07 10:00:00|0.2307692248520712|-0.0697674402379665
2005-05-12 10:00:00|0.3461538394970415|0.0909090892561983
2005-06-09 10:00:00|0.3023255743645215|0.2653061170345691
2005-07-07 10:00:00|0.6140350769467531|0.4642857059948981
2005-08-11 10:00:00|0.6666666543209879|0.5666666572222224
2005-09-08 10:00:00|0.4999999895833336|0.2173912996219282
2005-10-11 10:00:00|0.6428571313775513|0.4333333261111112
2005-11-10 10:00:00|0.7551020254060812|0.4399999912000002
2005-12-08 10:00:00|0.5294117569204153|0.2799999962666667
2006-01-12 10:00:00|0.4339622559629763|0.4035087648507234
2006-02-09 10:00:00|0.7826086786389418|0.4583333237847224
2006-03-09 10:00:00|0.5652173790170135|0.230769226331361
2006-04-07 10:00:00|0.6499999837500005|0.3333333253968256
2006-05-11 10:00:00|0.8421052409972306|0.4594594470416366
2006-06-08 10:00:00|0.7586206765755056|0.2692307640532545
2006-07-07 10:00:00|0.6585365693039862|0.2272727221074381
2006-08-10 10:00:00|0.5806451519250783|0.1111111093474427
2006-09-07 10:00:00|0.4285714198250731|-0.153846150887574
2006-10-12 10:00:00|0.3962264076183697|-0.2881355883366849
2006-11-09 10:00:00|0.2187499965820313|0.2463768080235245
2006-12-07 10:00:00|0.6296296179698219|0.3230769181065089
2007-01-11 10:00:00|0.0645161279916753|0.1290322559833507
2007-02-08 10:00:00|0.4461538392899409|0.138461536331361
2007-03-08 10:00:00|-0.0175438593413358|0.0303030298438934
2007-04-12 10:00:00|0.2380952343159486|-0.0769230757396449
2007-05-10 10:00:00|0.4374999931640626|0.3114754047299114
2007-06-08 10:00:00|0.5897435821827746|0.2941176427335641
2007-07-12 10:00:00|0.835616426909364|0.679012337296144
2007-08-09 10:00:00|0.7777777669753089|0.2054794492400075
2007-09-07 10:00:00|0.3698630086320136|-0.0540540533235938
2007-10-11 10:00:00|0.1818181790633609|-0.0833333321759259
2007-11-08 10:00:00|0.371428566122449|0.2602739690373429
2007-12-07 10:00:00|0.2727272677685951|-0.0606060596877869
2008-01-10 10:00:00|0.0632911384393526|-0.1506849294426722
2008-02-13 10:00:00|-0.1111111095679012|-0.2957746437214839
2008-03-07 10:00:00|0.0491803270626175|-0.1290322559833507
2008-04-10 10:00:00|-0.1372548992695118|-0.1272727249586777
2008-05-08 10:00:00|-0.0740740727023319|-0.3333333277777779
2008-06-12 10:00:00|0.0624999990234375|0.0937499985351562
2008-07-10 10:00:00|0.4827586123662308|0.2333333294444445
2008-08-07 10:00:00|0.4062499936523439|0.1111111093474427
2008-09-11 10:00:00|-0.4827586123662308|-0.3333333280423281
2008-10-09 10:00:00|-0.7586206765755056|-0.6874999892578127
2008-11-07 10:00:00|-0.7192982329947679|-0.7941176353806231
2008-12-11 10:00:00|-0.8666666522222225|-0.7999999866666669
2009-01-09 10:00:00|-0.806451599895942|-0.7999999866666669
2009-02-12 10:00:00|-0.6842105143120962|-0.7241379185493463
2009-03-12 10:00:00|-0.6799999864000003|-0.6603773460306162
2009-04-09 10:00:00|-0.4999999903846155|-0.6785714164540819
2009-05-12 10:00:00|-0.2962962908093279|-0.4193548319458898
2009-06-11 10:00:00|0.0416666657986111|-0.3448275802615934
2009-07-09 10:00:00|-0.1272727249586777|-0.152542370295892
2009-08-11 10:00:00|-0.0126582276878705|-0.1162790684153596
2009-09-10 10:00:00|0.2432432399561724|0.0126582276878705
2009-10-09 10:00:00|0.2238805936734239|0.1343283562040544
2009-11-12 10:00:00|0.1733333310222222|-0.049999999375
2009-12-10 10:00:00|-0.0461538454437869|-0.0120481926259253
2010-01-08 10:00:00|0.0574712637072268|-0.030303029996939
2010-02-11 10:00:00|0.0512820506245891|-0.333333329218107
2010-03-11 10:00:00|0.1162790684153596|-0.1999999976470588
2010-04-09 10:00:00|0.1794871771860618|0.1794871771860618
2010-05-12 10:00:00|0.1724137911216805|-0.0370370365797896
2010-06-10 10:00:00|0.3953488326122228|0.0109890108682526
2010-07-09 10:00:00|0.3924050583239866|0.0337078647897992
2010-08-12 10:00:00|0.2682926796549673|0.1249999984375
2010-09-09 10:00:00|0.2452830165539338|-0.1090909080991735
2010-10-14 10:00:00|0.4249999946875001|0.296703293442821
2010-11-16 10:00:00|0.5454545404958678|0.1681415914323753
2010-12-09 10:00:00|0.1951219488399762|0.1346153833210059
